,model,level,prompt_feature,accuracy,f1_score,precision,recall,n_shot,repeat
0,google/flan-t5-xl,0,chain-of-thought,0.595,0.7075812274368231,0.7,0.7153284671532847,0,1
1,google/flan-t5-xl,0,few-shot,0.445,0.47393364928909953,0.6756756756756757,0.36496350364963503,1,1
2,google/flan-t5-xl,0,few-shot,0.64,0.76,0.6993865030674846,0.8321167883211679,3,1
3,google/flan-t5-xl,0,few-shot,0.68,0.7866666666666666,0.7239263803680982,0.8613138686131386,5,1
4,google/flan-t5-xl,0,self-consistency,0.685,0.8119402985074626,0.6868686868686869,0.9927007299270073,0,3
5,google/flan-t5-xl,0,self-consistency,0.685,0.8130563798219584,0.685,1.0,0,5
6,google/flan-t5-xl,0,self-consistency-negative-feedback,0.635,0.7542087542087542,0.7,0.8175182481751825,0,5
7,google/flan-t5-xl,0,self-consistency-positive-feedback,0.635,0.7574750830564784,0.6951219512195121,0.8321167883211679,0,5
8,google/flan-t5-xl,0,zero-shot-negative-feedback,0.67,0.8,0.6839378238341969,0.9635036496350365,0,1
9,google/flan-t5-xl,0,zero-shot-positive-feedback,0.705,0.7870036101083032,0.7785714285714286,0.7956204379562044,0,1
10,google/flan-t5-xl,0,zero-shot,0.615,0.7220216606498195,0.7142857142857143,0.7299270072992701,0,1
11,google/flan-t5-xl,1,chain-of-thought,0.24,0.3659574468085106,0.43,0.31851851851851853,0,1
12,google/flan-t5-xl,1,few-shot,0.235,0.3446808510638298,0.405,0.3,1,1
13,google/flan-t5-xl,1,few-shot,0.16,0.2936170212765957,0.345,0.25555555555555554,3,1
14,google/flan-t5-xl,1,few-shot,0.26,0.3404255319148936,0.4,0.2962962962962963,5,1
15,google/flan-t5-xl,1,self-consistency,0.29,0.4127659574468085,0.485,0.3592592592592593,0,3
16,google/flan-t5-xl,1,self-consistency,0.23,0.3446808510638298,0.405,0.3,0,5
17,google/flan-t5-xl,1,self-consistency-negative-feedback,0.25,0.3659574468085106,0.43,0.31851851851851853,0,5
18,google/flan-t5-xl,1,self-consistency-positive-feedback,0.255,0.34893617021276596,0.41,0.3037037037037037,0,5
19,google/flan-t5-xl,1,zero-shot-negative-feedback,0.24,0.3702127659574468,0.435,0.32222222222222224,0,1
20,google/flan-t5-xl,1,zero-shot-positive-feedback,0.27,0.39574468085106385,0.465,0.34444444444444444,0,1
21,google/flan-t5-xl,1,zero-shot,0.165,0.30638297872340425,0.36,0.26666666666666666,0,1
22,google/flan-t5-xl,2,chain-of-thought,0.02,0.06177606177606178,0.08247422680412371,0.04938271604938271,0,1
23,google/flan-t5-xl,2,few-shot,0.02,0.0371900826446281,0.05625,0.027777777777777776,1,1
24,google/flan-t5-xl,2,few-shot,0.01,0.028282828282828285,0.04093567251461988,0.021604938271604937,3,1
25,google/flan-t5-xl,2,few-shot,0.05,0.06813627254509018,0.09714285714285714,0.05246913580246913,5,1
26,google/flan-t5-xl,2,self-consistency,0.01,0.06896551724137931,0.10059171597633136,0.05246913580246913,0,3
27,google/flan-t5-xl,2,self-consistency,0.045,0.05725190839694656,0.075,0.046296296296296294,0,5
28,google/flan-t5-xl,2,self-consistency-negative-feedback,0.03,0.05343511450381679,0.07,0.043209876543209874,0,5
29,google/flan-t5-xl,2,self-consistency-positive-feedback,0.045,0.06883365200764818,0.09045226130653267,0.05555555555555555,0,5
30,google/flan-t5-xl,2,zero-shot-negative-feedback,0.06,0.05847953216374269,0.07936507936507936,0.046296296296296294,0,1
31,google/flan-t5-xl,2,zero-shot-positive-feedback,0.055,0.07072691552062868,0.0972972972972973,0.05555555555555555,0,1
32,google/flan-t5-xl,2,zero-shot,0.125,0.12109375,0.16489361702127658,0.09567901234567901,0,1
33,meta-llama/Meta-Llama-3-8B-Instruct,0,chain-of-thought,0.54,0.6461538461538462,0.6829268292682927,0.6131386861313869,0,1
34,meta-llama/Meta-Llama-3-8B-Instruct,0,few-shot,0.575,0.6863468634686347,0.6940298507462687,0.6788321167883211,1,1
35,meta-llama/Meta-Llama-3-8B-Instruct,0,few-shot,0.53,0.656934306569343,0.656934306569343,0.656934306569343,3,1
36,meta-llama/Meta-Llama-3-8B-Instruct,0,few-shot,0.485,0.6308243727598566,0.6197183098591549,0.6423357664233577,5,1
37,meta-llama/Meta-Llama-3-8B-Instruct,0,self-consistency,0.585,0.6819923371647509,0.717741935483871,0.6496350364963503,0,3
38,meta-llama/Meta-Llama-3-8B-Instruct,0,self-consistency,0.54,0.6567164179104478,0.6717557251908397,0.6423357664233577,0,5
39,meta-llama/Meta-Llama-3-8B-Instruct,0,self-consistency-negative-feedback,0.525,0.6387832699619772,0.6666666666666666,0.6131386861313869,0,5
40,meta-llama/Meta-Llama-3-8B-Instruct,0,self-consistency-positive-feedback,0.61,0.717391304347826,0.7122302158273381,0.7226277372262774,0,5
41,meta-llama/Meta-Llama-3-8B-Instruct,0,zero-shot-negative-feedback,0.44,0.5,0.6436781609195402,0.40875912408759124,0,1
42,meta-llama/Meta-Llama-3-8B-Instruct,0,zero-shot-positive-feedback,0.51,0.6111111111111112,0.6695652173913044,0.5620437956204379,0,1
43,meta-llama/Meta-Llama-3-8B-Instruct,0,zero-shot,0.595,0.7054545454545454,0.7028985507246377,0.708029197080292,0,1
44,meta-llama/Meta-Llama-3-8B-Instruct,1,chain-of-thought,0.195,0.3148936170212766,0.37,0.2740740740740741,0,1
45,meta-llama/Meta-Llama-3-8B-Instruct,1,few-shot,0.28,0.37872340425531914,0.445,0.3296296296296296,1,1
46,meta-llama/Meta-Llama-3-8B-Instruct,1,few-shot,0.32,0.4,0.47,0.34814814814814815,3,1
47,meta-llama/Meta-Llama-3-8B-Instruct,1,few-shot,0.285,0.3574468085106383,0.42,0.3111111111111111,5,1
48,meta-llama/Meta-Llama-3-8B-Instruct,1,self-consistency,0.135,0.251063829787234,0.295,0.21851851851851853,0,3
49,meta-llama/Meta-Llama-3-8B-Instruct,1,self-consistency,0.075,0.20851063829787234,0.245,0.1814814814814815,0,5
50,meta-llama/Meta-Llama-3-8B-Instruct,1,self-consistency-negative-feedback,0.27,0.3404255319148936,0.4,0.2962962962962963,0,5
51,meta-llama/Meta-Llama-3-8B-Instruct,1,self-consistency-positive-feedback,0.23,0.3276595744680851,0.385,0.2851851851851852,0,5
52,meta-llama/Meta-Llama-3-8B-Instruct,1,zero-shot-negative-feedback,0.26,0.33617021276595743,0.395,0.29259259259259257,0,1
53,meta-llama/Meta-Llama-3-8B-Instruct,1,zero-shot-positive-feedback,0.265,0.3659574468085106,0.43,0.31851851851851853,0,1
54,meta-llama/Meta-Llama-3-8B-Instruct,1,zero-shot,0.31,0.37446808510638296,0.44,0.32592592592592595,0,1
55,meta-llama/Meta-Llama-3-8B-Instruct,2,chain-of-thought,0.09,0.11642411642411643,0.17834394904458598,0.08641975308641975,0,1
56,meta-llama/Meta-Llama-3-8B-Instruct,2,few-shot,0.115,0.1285140562248996,0.1839080459770115,0.09876543209876543,1,1
57,meta-llama/Meta-Llama-3-8B-Instruct,2,few-shot,0.17,0.1700404858299595,0.24705882352941178,0.12962962962962962,3,1
58,meta-llama/Meta-Llama-3-8B-Instruct,2,few-shot,0.15,0.15384615384615385,0.2235294117647059,0.11728395061728394,5,1
59,meta-llama/Meta-Llama-3-8B-Instruct,2,self-consistency,0.135,0.14432989690721648,0.21739130434782608,0.10802469135802469,0,3
60,meta-llama/Meta-Llama-3-8B-Instruct,2,self-consistency,0.185,0.1702127659574468,0.22797927461139897,0.13580246913580246,0,5
61,meta-llama/Meta-Llama-3-8B-Instruct,2,self-consistency-negative-feedback,0.165,0.17578125,0.2393617021276596,0.1388888888888889,0,5
62,meta-llama/Meta-Llama-3-8B-Instruct,2,self-consistency-positive-feedback,0.09,0.11405295315682282,0.16766467065868262,0.08641975308641975,0,5
63,meta-llama/Meta-Llama-3-8B-Instruct,2,zero-shot-negative-feedback,0.11,0.1276595744680851,0.17098445595854922,0.10185185185185185,0,1
64,meta-llama/Meta-Llama-3-8B-Instruct,2,zero-shot-positive-feedback,0.12,0.1141732283464567,0.15760869565217392,0.08950617283950617,0,1
65,meta-llama/Meta-Llama-3-8B-Instruct,2,zero-shot,0.065,0.08949416342412451,0.12105263157894737,0.07098765432098765,0,1
66,mosaicml/mpt-7b-instruct,0,chain-of-thought,0.645,0.7801857585139319,0.6774193548387096,0.9197080291970803,0,1
67,mosaicml/mpt-7b-instruct,0,few-shot,0.585,0.7167235494880546,0.6730769230769231,0.7664233576642335,1,1
68,mosaicml/mpt-7b-instruct,0,few-shot,0.585,0.71280276816609,0.6776315789473685,0.7518248175182481,3,1
69,mosaicml/mpt-7b-instruct,0,few-shot,0.595,0.7177700348432056,0.6866666666666666,0.7518248175182481,5,1
70,mosaicml/mpt-7b-instruct,0,self-consistency,0.675,0.8059701492537313,0.6818181818181818,0.9854014598540146,0,3
71,mosaicml/mpt-7b-instruct,0,self-consistency,0.675,0.8059701492537313,0.6818181818181818,0.9854014598540146,0,5
72,mosaicml/mpt-7b-instruct,0,self-consistency-negative-feedback,0.7,0.8159509202453987,0.7037037037037037,0.9708029197080292,0,5
73,mosaicml/mpt-7b-instruct,0,self-consistency-positive-feedback,0.69,0.8121212121212121,0.694300518134715,0.9781021897810219,0,5
74,mosaicml/mpt-7b-instruct,0,zero-shot-negative-feedback,0.66,0.746268656716418,0.7633587786259542,0.7299270072992701,0,1
75,mosaicml/mpt-7b-instruct,0,zero-shot-positive-feedback,0.65,0.7602739726027398,0.7161290322580646,0.8102189781021898,0,1
76,mosaicml/mpt-7b-instruct,0,zero-shot,0.615,0.7424749163879598,0.6851851851851852,0.8102189781021898,0,1
77,mosaicml/mpt-7b-instruct,1,chain-of-thought,0.085,0.23404255319148937,0.275,0.2037037037037037,0,1
78,mosaicml/mpt-7b-instruct,1,few-shot,0.18,0.2723404255319149,0.32,0.23703703703703705,1,1
79,mosaicml/mpt-7b-instruct,1,few-shot,0.205,0.2978723404255319,0.35,0.25925925925925924,3,1
80,mosaicml/mpt-7b-instruct,1,few-shot,0.31,0.4,0.47,0.34814814814814815,5,1
81,mosaicml/mpt-7b-instruct,1,self-consistency,0.22,0.35319148936170214,0.415,0.3074074074074074,0,3
82,mosaicml/mpt-7b-instruct,1,self-consistency,0.065,0.19574468085106383,0.23,0.17037037037037037,0,5
83,mosaicml/mpt-7b-instruct,1,self-consistency-negative-feedback,0.125,0.28085106382978725,0.33,0.24444444444444444,0,5
84,mosaicml/mpt-7b-instruct,1,self-consistency-positive-feedback,0.15,0.28085106382978725,0.33,0.24444444444444444,0,5
85,mosaicml/mpt-7b-instruct,1,zero-shot-negative-feedback,0.235,0.33617021276595743,0.395,0.29259259259259257,0,1
86,mosaicml/mpt-7b-instruct,1,zero-shot-positive-feedback,0.245,0.3617021276595745,0.425,0.3148148148148148,0,1
87,mosaicml/mpt-7b-instruct,1,zero-shot,0.235,0.3617021276595745,0.425,0.3148148148148148,0,1
88,mosaicml/mpt-7b-instruct,2,chain-of-thought,0.035,0.049886621315192746,0.09401709401709402,0.033950617283950615,0,1
89,mosaicml/mpt-7b-instruct,2,few-shot,0.145,0.13390928725701945,0.22302158273381295,0.09567901234567901,1,1
90,mosaicml/mpt-7b-instruct,2,few-shot,0.185,0.17536534446764093,0.2709677419354839,0.12962962962962962,3,1
91,mosaicml/mpt-7b-instruct,2,few-shot,0.135,0.13025210084033614,0.20394736842105263,0.09567901234567901,5,1
92,mosaicml/mpt-7b-instruct,2,self-consistency,0.015,0.037894736842105266,0.059602649006622516,0.027777777777777776,0,3
93,mosaicml/mpt-7b-instruct,2,self-consistency,0.04,0.047311827956989246,0.07801418439716312,0.033950617283950615,0,5
94,mosaicml/mpt-7b-instruct,2,self-consistency-negative-feedback,0.035,0.046296296296296294,0.09259259259259259,0.030864197530864196,0,5
